Sector,Escenario,Hora,Variable,Negativos,Menores,EnRango,Mayores
Sur,E0,20:00:00,Caudal,0,269,9,5
Sur,E0,20:00:00,Velocidad,0,264,14,5
Sur,E0,21:00:00,Caudal,0,268,6,9
Sur,E0,21:00:00,Velocidad,0,259,19,5
Sur,E0,22:00:00,Caudal,0,269,9,5
Sur,E0,22:00:00,Velocidad,0,261,17,5
Sur,E0,23:00:00,Caudal,0,272,6,5
Sur,E0,23:00:00,Velocidad,0,267,11,5
Sur,E1,00:00:00,Caudal,0,273,5,5
Sur,E1,00:00:00,Velocidad,0,268,10,5
Sur,E1,01:00:00,Caudal,0,273,5,5
Sur,E1,01:00:00,Velocidad,0,268,10,5
Sur,E1,02:00:00,Caudal,0,272,6,5
Sur,E1,02:00:00,Velocidad,0,268,10,5
Sur,E1,03:00:00,Caudal,0,272,6,5
Sur,E1,03:00:00,Velocidad,0,268,10,5
Sur,E1,04:00:00,Caudal,0,272,6,5
Sur,E1,04:00:00,Velocidad,0,267,11,5
Sur,E1,05:00:00,Caudal,0,268,6,9
Sur,E1,05:00:00,Velocidad,0,257,19,7
Sur,E1,06:00:00,Caudal,0,268,6,9
Sur,E1,06:00:00,Velocidad,0,254,20,9
Sur,E1,07:00:00,Caudal,0,536,12,18
Sur,E1,07:00:00,Velocidad,0,508,40,18
Sur,E1,09:00:00,Caudal,0,268,6,9
Sur,E1,09:00:00,Velocidad,0,254,19,10
Sur,E1,10:00:00,Caudal,0,268,6,9
Sur,E1,10:00:00,Velocidad,0,254,20,9
Sur,E1,11:00:00,Caudal,0,268,6,9
Sur,E1,11:00:00,Velocidad,0,254,20,9
Sur,E1,12:00:00,Caudal,0,268,6,9
Sur,E1,12:00:00,Velocidad,0,256,18,9
Sur,E1,13:00:00,Caudal,0,268,6,9
Sur,E1,13:00:00,Velocidad,0,256,18,9
Sur,E1,14:00:00,Caudal,0,268,6,9
Sur,E1,14:00:00,Velocidad,0,258,20,5
Sur,E1,15:00:00,Caudal,0,268,6,9
Sur,E1,15:00:00,Velocidad,0,258,20,5
Sur,E1,16:00:00,Caudal,0,269,9,5
Sur,E1,16:00:00,Velocidad,0,259,19,5
Sur,E1,17:00:00,Caudal,0,269,9,5
Sur,E1,17:00:00,Velocidad,0,259,19,5
Sur,E1,18:00:00,Caudal,0,269,9,5
Sur,E1,18:00:00,Velocidad,0,264,14,5
Sur,E1,19:00:00,Caudal,0,269,9,5
Sur,E1,19:00:00,Velocidad,0,264,14,5
Sur,E1,20:00:00,Caudal,0,269,9,5
Sur,E1,20:00:00,Velocidad,0,264,14,5
Sur,E1,21:00:00,Caudal,0,268,6,9
Sur,E1,21:00:00,Velocidad,0,259,19,5
Sur,E1,22:00:00,Caudal,0,269,9,5
Sur,E1,22:00:00,Velocidad,0,261,17,5
Sur,E1,23:00:00,Caudal,0,272,6,5
Sur,E1,23:00:00,Velocidad,0,267,11,5
